"Weightlifting","Weightlifting Women's Super-Heavyweight"
"Gymnastics","Gymnastics Men's Individual All-Around"
"Gymnastics","Gymnastics Men's Floor Exercise"
"Gymnastics","Gymnastics Men's Parallel Bars"
"Gymnastics","Gymnastics Men's Horizontal Bar"
"Gymnastics","Gymnastics Men's Rings"
"Gymnastics","Gymnastics Men's Pommelled Horse"
"Athletics","Athletics Men's 5,000 metres"
"Rowing","Rowing Men's Coxless Pairs"
"Taekwondo","Taekwondo Women's Flyweight"
"Handball","Handball Men's Handball"
"Boxing","Boxing Men's Middleweight"
"Athletics","Athletics Men's 400 metres"
"Handball","Handball Women's Handball"
"Weightlifting","Weightlifting Men's Heavyweight"
"Equestrianism","Equestrianism Mixed Three-Day Event, Individual"
"Equestrianism","Equestrianism Mixed Three-Day Event, Team"
"Cycling","Cycling Women's Road Race, Individual"
"Volleyball","Volleyball Men's Volleyball"
"Diving","Diving Women's Platform"
"Volleyball","Volleyball Men's Volleyball"
"Shooting","Shooting Men's Air Pistol, 10 metres"
"Shooting","Shooting Men's Free Pistol, 50 metres"
"Shooting","Shooting Women's Air Rifle, 10 metres"
"Volleyball","Volleyball Men's Volleyball"
"Boxing","Boxing Men's Lightweight"
"Judo","Judo Men's Half-Middleweight"
"Weightlifting","Weightlifting Men's Middleweight"
"Weightlifting","Weightlifting Men's Middle-Heavyweight"
"Football","Football Men's Football"
"Synchronized Swimming","Synchronized Swimming Women's Team"
"Judo","Judo Men's Extra-Lightweight"
"Volleyball","Volleyball Men's Volleyball"
"Wrestling","Wrestling Men's Middleweight, Greco-Roman"
"Athletics","Athletics Men's 5,000 metres"
"Athletics","Athletics Men's 10,000 metres"
"Volleyball","Volleyball Women's Volleyball"
"Boxing","Boxing Men's Lightweight"
"Athletics","Athletics Women's 200 metres"
"Boxing","Boxing Men's Heavyweight"
"Wrestling","Wrestling Men's Super-Heavyweight, Greco-Roman"
"Boxing","Boxing Men's Middleweight"
"Wrestling","Wrestling Men's Middleweight, Freestyle"
"Judo","Judo Men's Heavyweight"
"Boxing","Boxing Men's Lightweight"
"Fencing","Fencing Men's Sabre, Individual"
"Diving","Diving Women's Springboard"
"Diving","Diving Women's Synchronized Springboard"
"Athletics","Athletics Men's Decathlon"
"Football","Football Men's Football"
"Athletics","Athletics Men's Marathon"
"Swimming","Swimming Men's 100 metres Freestyle"
"Boxing","Boxing Men's Flyweight"
"Badminton","Badminton Men's Singles"
"Rugby Sevens","Rugby Sevens Women's Rugby Sevens"
"Football","Football Women's Football"
"Table Tennis","Table Tennis Men's Team"
"Water Polo","Water Polo Women's Water Polo"
"Gymnastics","Gymnastics Men's Team All-Around"
"Gymnastics","Gymnastics Men's Floor Exercise"
